5.78, 4.77, 4.91, 5.66, 5.95, 4.65, 4.5, 4.55, 4.31, 4.13, 4.35, 4.05, 3.98
4.76, 6.14, 7.18, 5.13, 5.98, 4.73, 4.7, 4.5, 4.53, 4.26, 4.49, 4.18, 4.11
4.92, 7.17, 6.49, 5.66, 6.57, 4.62, 4.62, 4.69, 4.49, 4.35, 4.59, 4.28, 4.2
5.65, 5.11, 5.66, 6.26, 7.11, 4.96, 4.5, 4.6, 4.53, 4.2, 4.46, 4.17, 4.07
5.95, 5.97, 6.56, 7.1, 9.17, 7.31, 6.75, 6.06, 6.04, 7.15, 7.43, 7.1, 7.0
4.66, 4.75, 4.62, 4.96, 7.28, 6.76, 6.07, 5.6, 6.0, 4.06, 4.25, 3.95, 3.87
4.51, 4.7, 4.62, 4.48, 6.72, 6.09, 6.69, 7.43, 5.01, 3.97, 4.27, 3.96, 3.88
4.55, 4.48, 4.68, 4.59, 6.06, 5.58, 7.39, 6.2, 5.58, 4.63, 4.2, 3.94, 3.85
4.33, 4.53, 4.5, 4.52, 6.03, 6.0, 5.01, 5.57, 6.08, 5.15, 4.75, 3.84, 3.82
4.13, 4.25, 4.35, 4.22, 7.16, 4.03, 3.97, 4.63, 5.16, 5.58, 5.21, 4.2, 3.53
4.36, 4.49, 4.59, 4.46, 7.4, 4.27, 4.27, 4.22, 4.73, 5.22, 6.04, 5.18, 4.46
4.04, 4.18, 4.29, 4.15, 7.11, 3.94, 3.94, 3.93, 3.83, 4.21, 5.17, 5.36, 4.12
3.97, 4.09, 4.23, 4.08, 7.0, 3.87, 3.88, 3.88, 3.81, 3.52, 4.46, 4.11, 5.2
